語詞,解釋
景色,風光、景物。[例]這條小溪畔風光明媚，景色優美，常令人流連忘返。
驚喜,驚奇歡喜。[例]大家聽到哥哥中了統一發票特獎的消息都感到非常驚喜。
所以,1.因此、因而。常與「因為」連用，表示因果關係。[例]他因為吃得太多，所以覺得肚子好脹。
房間,房屋內的隔間。[例]我們家有三個房間，其中兩間是臥房，一間是書房。
討論,相互探討研究，以尋求結論。[例]這項決議是經過討論、表決後才定案的。
裙子,一種圍在腰部以下的服裝，古時候男女都穿，後來多為女子服飾。[例]妹妹穿著白色襯衫、碎花布裙子，十分俏麗可愛。　△裙
而且,表示平列或更進一層。[例]自獲獎後他便一舉成名，而且還享譽國際。
紫色,由紅色與藍色調和而成的顏色。[例]紫色玫瑰品種稀有，價格也不便宜。
分工合作,將一件事分由眾人共同完成。[例]大家分工合作，事情較易完成。
時候,1.時刻。[例]遭遇緊急危難的時候，唯有處變不驚才能化險為夷。
慶生,慶祝生日。[例]今天班上為當月的壽星一起慶生，氣氛歡樂溫馨。
一座,1.滿座的賓客。如：「一座稱善」。也作「一坐」。
微笑,淺笑、淡淡的笑。[例]微笑是通行世界各地，最好的溝通語言。
表情,1.由臉部的表現和身體的動作，所表達的喜怒、哀樂、好惡等情感。[例]他臉上流露出興奮的表情。
各自,各人。[例]他們商量好計畫後，各自分頭進行。
突然,形容情況緊急且出人意外。[例]小王在一片安靜中突然起身說話，言語中在在表現出他的不滿。
變壞,情況由好轉為不好。[例]烏雲密布，天氣變壞了。
強風,1.強勁的風。[例]強風伴隨著沙塵吹來，讓人難以睜開眼睛。
奇特,奇異特殊。[例]他的穿著奇特，在人群中相當顯眼。
七嘴八舌,形容人多口雜，議論紛紜的樣子。[例]一確定出遊日期，眾人便七嘴八舌的開始討論細節。
欣賞,1.以喜愛的心情來玩賞。[例]儘管寒流來襲，大家仍然不畏風寒，到合歡山欣賞雪景。
如果,假使、倘若。[例]如果人人都遵守交通規則，就可以大大減少車禍的發生。
一定,1.肯定、必然。[例]明天上午我一定會準時出席。
互換,互相交換、調換。[例]畢業前夕，同學們彼此互換紀念品。
共同,1.一起、一同。[例]這件事情需要靠大家共同努力來完成。
漸漸,表示程度、數量等的逐步增減。[例]這個星期三開始，天氣會漸漸好轉，氣溫也會回升。
散發,散布、發出。[例]園子裡的蘭花散發出陣陣清香。
光芒,四散射出的光線。[例]光芒萬丈
透過,1.穿過。[例]筆墨透過紙背。
照亮,1.照射得十分明亮。[例]煙火照亮了整個天空。
嘴角,上下脣兩端連接處。[例]說到得意處，他嘴角揚起，十分自得。
星星,1.頭髮花白的樣子。[例]經過歲月的洗禮，昔日英姿煥發的年輕人，如今已是兩鬢星星，滿頭華髮了。 / 泛稱夜空中發光的星體。[例]長煙一空，萬里無雲，滿天的星星閃耀著清輝。
一閃,1.快速躲閃。《水滸傳》第二回：「史進賣個破綻，讓陳達把鎗望心窩裡搠來，史進卻把腰一閃，陳達和鎗攧入懷裡來。」《三國演義》第一〇回：「超將身一閃，李蒙搠個空。」
亮晶晶,閃亮耀眼的樣子。[例]晴朗的夜空裡，布滿了亮晶晶的小星星。
睡著,入睡。[例]小嬰兒已經睡著了，大家不要吵醒她。
悄悄,1.寂靜、沒有聲響的樣子。[例]他躡著腳悄悄的進門，深怕驚醒了睡夢中的父親。
時常,指事情發生的頻率很高。[例]我倆雖分隔兩地，卻時常保持聯繫。 △常常、經常
臂膀,胳膊。[例]他是個舉重健將，擁有結實的臂膀。
永遠,永久、恆久。[例]古聖先賢的事蹟永遠留存史冊，供後人景仰與效法。
避風港,1.能讓船隻躲避強風襲擊的港灣。[例]三面環山，一面對海的港灣是最理想的避風港。
剛剛,方才。[例]老闆剛剛出去，麻煩你等一下再打電話來。
作品,文學、藝術方面創作的成品。[例]他是文壇新崛起的作家，作品常刊載在各大報章雜誌上。
爺爺,稱謂：(1) 對祖父的稱呼。[例]爺爺雖已年近八十，身子骨還是很硬朗。　(2) 稱和祖父同輩分或年紀相當的男性。[例]隔壁的李爺爺慈祥和藹，大夥兒都喜歡和他接近。
採收,採摘、收取。[例]現在正是採收芒果的季節，各農家都非常忙碌。
香蕉,植物名。芭蕉科芭蕉屬，多年生草本。莖短，葉長而寬，夏秋間自偽莖抽出大花軸，上部為雄花，下部為雌花，花色淡黃。果實為長形，稍彎，味香甜，亦稱為「香蕉」。[例]高雄旗山所產的香蕉味道甜美，十分著名。　◎
軍人,凡有軍籍的人，不論官兵，均稱為「軍人」。[例]保衛疆土是軍人最重要的職責。
飛機,一種利用動力推進而飛行的工具。具有機身、機翼和發動機等三大部分。可供載客、運輸等。[例]飛機是美國的萊特兄弟所發明的。　◎
告訴,1.被害人向高級長官或法政機關告發，稱為「告訴」。[例]他因為土地被侵占，而向法院提出告訴。
辛苦,1.勞累困苦。[例]農夫在烈日下辛苦耕種，汗水都浸溼了衣服。
堅固,強韌牢固。[例]這座橋梁經過專家精心設計，建造得非常堅固。
安全,平安而沒有危險。[例]時時注意居家安全，才能保障生命財產不受損失。
寶貝,1.動物名。軟體動物門腹足綱。棲於海濱岩礁，殼可作裝飾用。
不管,1.不看顧。[例]為人子女拋下年邁的父母不管，這種行為實在令人髮指。
教室,老師傳授知識、技能的場所。[例]經過同學們合力打掃清洗後，整間教室頓時煥然一新。
來不及,無法趕上。[例]由於塞車非常嚴重，害我來不及參加會議的開幕儀式。
終於,最後、總算。表示所預料或期望的情況到最後還是發生了。[例]經過多次試驗後，太空梭終於發射成功。
立刻,即時、馬上。[例]槍聲一響，選手們立刻邁開腳步向前奔跑。
並且,而且。通常連接兩個句子，是用以表示平列或進一層意義的連詞。[例]對於教導學生，家長和老師要建立共識，並且隨時保持聯絡。
課文,教科書的內容正文。[例]今天的家庭作業是把第三課的課文抄寫一遍。
鉛筆,將石墨粉和黏土製成的筆心，嵌入圓條形的木管或其他質料的筆管中，所做成的書寫工具。[例]鉛筆書寫方便，擦拭容易，非常適合小朋友使用。
校園,一校所擁有的校地範圍。[例]校園中遍植花木，綠意盎然。
腳踏車,一種利用雙腳踩踏板前進的兩輪車。[例]清晨在鄉間的馬路上，可見到許多學生騎腳踏車上學。　△單車、自行車、自由車　◎
哥哥,稱謂：(1)稱兄長。[例]哥哥從小品學兼優，是弟妹們的好榜樣。　◎　(2)稱同輩的男性。[例]隔壁的張哥哥今年剛考上大學，是眾人欽羨的對象。
牛排,將牛的里肌肉切成厚片，以調味料醃過，依各人喜好煎成不同熟度，再淋上醬汁的食物。[例]牛排以三分熟的口味最佳，可惜國人因飲食習慣的不同，多選擇七分熟。
神祕,高深難料，超乎尋常理性認知之外。[例]對手冷靜從容的表情，令他覺得神祕莫測。
白兔,1.白色的兔子。《後漢書．卷一．光武帝紀下》：「九月，日南徼外蠻夷獻白雉、白兔。」
其他,除此之外、別的。[例]我的報告到此結束，大家還有其他的疑問嗎？
猴子,→猴
生病,得病、害病。[例]平時注意衛生保健，可以減少許多生病的機會。
探望,拜訪看望。[例]許多慈善團體會定期派遣志工探望獨居的長者，提供各項協助。
身體,人的軀體。[例]身體健康、身體殘缺
可惜,令人惋惜。[例]他年紀輕輕的就誤入歧途，結交了一些壞朋友，斷送了自己的前程，實在可惜。
無法,1.任意作惡，完全不顧法律綱紀。[例]無法無天
辦法,1.處理事務或解決問題的方法。[例]我已經想到解決這場糾紛的辦法了。
之後,表示某個時間以後的連詞。如：「自從你走了之後，大夥就沒再見面了。」《官場現形記》第二七回：「到京之後，又復花天酒地，任意招搖，并串通市儈黃某，到處鑽營，卑鄙無恥。」
鼻子,動物的呼吸器官之一，內有黏膜及嗅神經，亦為嗅覺器官。[例]他將鼻子湊上去聞了聞，說：「這花好香啊！」　△鼻　◎
一模一樣,完全一樣，好像同一個模子印出來的。[例]這對雙胞胎長得一模一樣，分不清誰是姊姊，誰是妹妹。
度過,經歷、通過。[例]他靠著意志力，度過這場生命的艱困挑戰。
經過,1.通過、走過。[例]當你經過超市時，可否順便幫我買一瓶醬油？
奇怪,奇異，出乎意料。[例]對於這件事的發生，大家都感到很奇怪。
不可思議,本指事物神祕奧妙，令人難以想像、理解。今亦多用於比喻事情出乎常理。[例]他在短短三個月間就學會了三種語言，真是不可思議！
山羊,動物名。哺乳綱偶蹄目。體形似綿羊而較狹，頭長頸短，額有角一對，角尖向後，略呈三角形。四肢強壯，善於跳躍。毛直而不捲，公羊頷下有長鬚。毛皮可用來製衣褥。[例]這座農場專門飼養山羊，利潤極高。 ◎
鴨子,→鴨
鴕鳥,動物名。鳥綱駝鳥目駝鳥科。是現代鳥類中最大的鳥，不會飛，但奔跑的速度卻相當快。頭小頸細長，嘴扁平，身體龐大，雙腿細長，腳上只有兩個腳趾。耐旱性高，屬雜食性動物。產於非洲、亞洲、美洲。[例]鴕鳥在陸地上奔跑的速度非常快，時速可達50至70公里。　△駝鳥　◎
相信,1.信任，認為可以信賴。[例]他這個人誠實可靠，值得相信。
沒錯,1.正確無誤。[例]你猜的沒錯，他果然是真正的幕後主使人。
眼睛,動物身上觀察外物的視覺器官。[例]她有一雙水汪汪的大眼睛。
仔細,1.詳細、周密。[例]他仔細檢查每個實驗步驟，找出誤差所在。
不可能,不會有可能。[例]天無絕人之路，事情不可能完全沒有轉機。
消息,音信、訊息。[例]知道他考取公費留學的消息後，全家人都非常高興。
忍不住,不能忍受、不能克制。[例]看到哥哥扮了個鬼臉，妹妹忍不住笑了出來。
照顧,1.照料、看顧、幫助。[例]他非常乖巧懂事，從小就幫忙爸媽照顧弟弟和妹妹。
馬良,人名：(1)三國蜀漢臣，字季常，宜城（今安徽省懷寧縣）人，眉中有白毛，兄弟五人中以良最有才名。劉備稱帝後，以良為侍中，後追隨劉備征吳遇害。(2)（西元1840～1939）原名馬志德，字相伯，江蘇鎮江人。世奉天主教。曾任駐日本神戶、長崎領事。在上海創立震旦學院，繼創復旦公學，任校長。民國後曾代理北京大學校長、國民政府委員。著有《拉丁文通》、《致知淺說》、《法文關鍵》等。
孩子,1.未成年的人。[例]一群孩子圍著小販，爭買糖葫蘆。
尾巴,1.動物或物體末梢突出的部分。[例]狗尾巴、飛機尾巴
村子,村莊，鄉民聚集居住的地方。《文明小史》第二八回：「還有那北京城上放的幾個大砲，把城外的村子轟掉了不少。」
貪心,過分索求而不知足。[例]貪心會使人不辨是非，唯利是圖。
皇帝,秦朝以後對天子的稱號。[例]楚漢相爭後，天下諸侯將相共同推尊漢王為皇帝。
不准,禁止、不允許。[例]此處不准張貼廣告，違者罰款。
元寶,1.中國古代用金或銀鑄造而成的貨幣。形似餃子。[例]金元寶、天福元寶　◎
掀起,1.揭起。《紅樓夢》第六四回：「連忙上前來打簾子，將掀起時，只見芳官自內帶笑跑出。」
邀請,邀約招請。[例]我們小學同學會邀請了當年的級任導師來參加。
朝陽,早晨的太陽。[例]朝陽的光芒照亮了整片天空，美好的一天就此開始。
一些,表示不定數量的用語：(1) 數量少、一點點。[例]這杯咖啡再加一些糖會更好喝。　(2) 有許多，不是唯一的。[例]在當老師前，我做過一些其他工作。
手舞足蹈,手、腳舞動跳躍。形容非常高興喜悅的樣子。語本《孟子．離婁上》。[例]她一聽到獲得頭獎的消息，立刻高興得手舞足蹈。
